Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,12396.339844,12676.519531,12097.360352,12118.250000,12118.250000,1774219500
2017-08-01,12147.889648,12336.000000,11868.839844,12055.839844,12055.839844,1736744300
2017-09-01,12101.150391,12828.860352,12050.530273,12828.860352,12828.860352,1770810200
2017-10-01,12866.269531,13255.379883,12849.589844,13229.570313,13229.570313,1560162000
2017-11-01,13342.440430,13525.559570,12847.879883,13023.980469,13023.980469,2121108500
2017-12-01,13044.150391,13338.910156,12810.129883,12917.639648,12917.639648,1619717800
2018-01-01,12897.690430,13596.889648,12745.150391,13189.480469,13189.480469,2108953300
2018-02-01,13235.150391,13301.410156,12003.360352,12435.849609,12435.849609,2328410000
2018-03-01,12386.400391,12459.900391,11726.620117,12096.730469,12096.730469,2414481000
2018-04-01,11997.469727,12647.160156,11792.349609,12612.110352,12612.110352,1755404200
2018-05-01,12610.780273,13204.309570,12547.610352,12604.889648,12604.889648,2224918000
2018-06-01,12678.070313,13170.049805,12104.410156,12306.000000,12306.000000,2326984100
2018-07-01,12147.940430,12886.830078,12132.719727,12805.500000,12805.500000,1766679100
2018-08-01,12826.700195,12833.110352,12120.650391,12364.059570,12364.059570,1707359700
2018-09-01,12338.360352,12458.299805,11865.469727,12246.730469,12246.730469,1922506800
2018-10-01,12265.889648,12373.290039,11051.040039,11447.509766,11447.509766,1997993800
2018-11-01,11419.610352,11689.959961,11009.250000,11257.240234,11257.240234,1916112500
2018-12-01,11534.750000,11566.969727,10279.200195,10558.959961,10558.959961,1758607300
2019-01-01,10477.769531,11321.620117,10386.969727,11173.099609,11173.099609,1869330700
2019-02-01,11198.459961,11556.870117,10863.559570,11515.639648,11515.639648,1606225800
2019-03-01,11584.240234,11823.290039,11299.799805,11526.040039,11526.040039,1867513900
2019-04-01,11617.179688,12376.059570,11612.700195,12344.080078,12344.080078,1670784200
2019-05-01,12349.099609,12435.669922,11662.070313,11726.839844,11726.839844,2168473300
2019-06-01,11661.120117,12438.370117,11620.639648,12398.799805,12398.799805,1852946200
2019-07-01,12616.339844,12656.049805,12115.280273,12189.040039,12189.040039,1874735700
2019-08-01,12134.709961,12254.030273,11266.480469,11939.280273,11939.280273,1995691100
2019-09-01,11939.990234,12494.250000,11869.280273,12428.080078,12428.080078,1753331600
2019-10-01,12469.669922,12986.490234,11878.980469,12866.790039,12866.790039,1835726200
2019-11-01,12912.089844,13374.269531,12896.719727,13236.379883,13236.379883,1598514500
2019-12-01,13264.929688,13425.849609,12886.549805,13249.009766,13249.009766,1372865900
2020-01-01,13233.709961,13640.059570,12948.169922,12981.969727,12981.969727,1737147300
2020-02-01,13033.169922,13795.240234,11724.120117,11890.349609,11890.349609,2231747600
2020-03-01,12030.269531,12272.990234,8255.650391,9935.839844,9935.839844,4826748300
2020-04-01,9610.669922,11235.570313,9337.019531,10861.639648,10861.639648,2507299800
2020-05-01,10543.360352,11813.139648,10160.889648,11586.849609,11586.849609,2221913600
2020-06-01,11586.849609,12913.129883,11586.849609,12310.929688,12310.929688,2754888800
2020-07-01,12391.719727,13313.900391,12095.110352,12313.360352,12313.360352,1712733000
2020-08-01,12374.459961,13221.820313,12365.610352,12945.379883,12945.379883,1260622200
2020-09-01,13037.200195,13460.459961,12341.580078,12760.730469,12760.730469,1617666600
2020-10-01,12812.080078,13151.799805,11450.080078,11556.480469,11556.480469,1555195300
2020-11-01,11602.910156,13445.110352,11551.360352,13291.160156,13291.160156,1828909000
2020-12-01,13371.660156,13903.110352,13009.480469,13718.780273,13718.780273,1360090900
2021-01-01,13890.219727,14131.519531,13310.950195,13432.870117,13432.870117,1557733500
2021-02-01,13559.940430,14169.490234,13518.450195,13786.290039,13786.290039,1438588300
2021-03-01,13962.429688,15029.700195,13868.200195,15008.339844,15008.339844,1794389200
2021-04-01,15053.769531,15501.839844,15032.519531,15135.910156,15135.910156,1320674600
2021-05-01,15191.790039,15568.599609,14816.349609,15421.129883,15421.129883,1439213800
2021-06-01,15513.129883,15802.669922,15309.440430,15531.040039,15531.040039,1226514500
2021-07-01,15624.280273,15810.679688,15048.559570,15544.389648,15544.389648,1205377400
2021-08-01,15631.700195,16030.330078,15492.580078,15835.089844,15835.089844,1034321500
2021-09-01,15958.410156,15981.700195,15019.490234,15260.690430,15260.690430,1337021100
2021-10-01,15041.599609,15598.580078,14818.709961,15587.360352,15587.360352,750862800
2021-10-15,15481.219727,15598.580078,15465.929688,15587.360352,15587.360352,0
